X;workerid;proliferate.condition;samediff_mirrornorm;samediff;categories;failed_audio;failed_images;failed_video;internal_node_id;response;rt;sequence_id;same_mirror_normal;stimulus;success;time_elapsed;timeout;trial_index;trial_type;view_history;error;language
11632;23;condition1;_;;;;;;0.0-6.0-1.72;;NA;1;;+;NA;126393;NA;301;html-keyboard-response;;NA;french
11633;23;condition1;_;;;;;;0.0-6.0-2.72;;NA;2;;img2/french/3.jpg;NA;126601;NA;302;image-keyboard-response;;NA;french
11634;23;condition1;S_T;S;R;;;;0.0-6.0-3.72;d;1193;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11635;23;condition1;_;;;;;;0.0-6.0-0.73;;NA;0;;img2/false/11.jpg;NA;128009;NA;304;image-keyboard-response;;NA;french
11636;23;condition1;_;;;;;;0.0-6.0-1.73;;NA;1;;+;NA;128312;NA;305;html-keyboard-response;;NA;french
11637;23;condition1;_;;;;;;0.0-6.0-2.73;;NA;2;;img2/false/13.jpg;NA;128520;NA;306;image-keyboard-response;;NA;french
11638;23;condition1;D_T;D;M;;;;0.0-6.0-3.73;d;633;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11639;23;condition1;_;;;;;;0.0-6.0-0.74;;NA;0;;img2/french/8.jpg;NA;129359;NA;308;image-keyboard-response;;NA;french
11640;23;condition1;_;;;;;;0.0-6.0-1.74;;NA;1;;+;NA;129664;NA;309;html-keyboard-response;;NA;french
11641;23;condition1;_;;;;;;0.0-6.0-2.74;;NA;2;;img2/french/2.jpg;NA;129872;NA;310;image-keyboard-response;;NA;french
11642;23;condition1;D_T;D;R;;;;0.0-6.0-3.74;d;361;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11643;23;condition1;_;;;;;;0.0-6.0-0.75;;NA;0;;img2/Mjap/8.jpg;NA;130440;NA;312;image-keyboard-response;;NA;french
11644;23;condition1;_;;;;;;0.0-6.0-1.75;;NA;1;;+;NA;130744;NA;313;html-keyboard-response;;NA;french
11645;23;condition1;_;;;;;;0.0-6.0-2.75;;NA;2;;img2/Mjap/2.jpg;NA;130951;NA;314;image-keyboard-response;;NA;french
11646;23;condition1;D_M;D;J;;;;0.0-6.0-3.75;d;545;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11647;23;condition1;_;;;;;;0.0-6.0-0.76;;NA;0;;img2/faces/12.jpg;NA;131703;NA;316;image-keyboard-response;;NA;french
11648;23;condition1;_;;;;;;0.0-6.0-1.76;;NA;1;;+;NA;132008;NA;317;html-keyboard-response;;NA;french
11649;23;condition1;_;;;;;;0.0-6.0-2.76;;NA;2;;img2/Mfaces/12.jpg;NA;132216;NA;318;image-keyboard-response;;NA;french
11650;23;condition1;S_M;S;H;;;;0.0-6.0-3.76;s;457;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11651;23;condition1;_;;;;;;0.0-6.0-0.77;;NA;0;;img2/Mfalse/3.jpg;NA;132880;NA;320;image-keyboard-response;;NA;french
